Correlation of Logamatic Boiler Temperature  to Thermocouple Voltage,,,,,,,,
for Optimus Systems Furnace Monitor 2,,,,,,,,
Reference,Online Calculator Curve Fitting,,,1st Fit,2nd Fit,3rd,,
NOTE: Numbers polynomial function lists coefficients in reverse order from OCCF.,,,Polynomial Deg 2,σ = 0.009222,3-digits,6-digits,,
,,Coefficients,a0,0.000056,0.0001,0.000078,0.000044,
Curve Fit,3,,a1,-0.040148,-0.0452,-0.045245,-0.034788,
temp (F),Volts,,a2,6.553598,6.8469,6.846917,6.089202,
195,0.990092,,OCCF Format f(x) =,,a0 + (a1 * x) +( a2 * x2),,,
,,,Numbers Format f(x) =,,a0 xn + a1 x(n-1) + a2 x(n-2) ,,,
Labels,Temp (degF),Rdg (Volts),▲ xn - xn+1,Curve Fit 1,Curve Fit 2,Curve Fit 3,Curve Fit 4,
55,55,4.514858,,4.514858,4.6634,4.594392,4.308962,
,56,4.480926,0.0339,4.480926,4.6293,4.557805,4.279058,
,57,4.447106,0.0338,4.447106,4.5954,4.521374,4.249242,
,58,4.413398,0.0337,4.413398,4.5617,4.485099,4.219514,
,59,4.379802,0.0336,4.379802,4.5282,4.448980,4.189874,
60,60,4.346318,0.0335,4.346318,4.4949,4.413017,4.160322,
,61,4.312946,0.0334,4.312946,4.4618,4.377210,4.130858,
,62,4.279686,0.0333,4.279686,4.4289,4.341559,4.101482,
,63,4.246538,0.0331,4.246538,4.3962,4.306064,4.072194,
,64,4.213502,0.0330,4.213502,4.3637,4.270725,4.042994,
65,65,4.180578,0.0329,4.180578,4.3314,4.235542,4.013882,
,66,4.147766,0.0328,4.147766,4.2993,4.200515,3.984858,
,67,4.115066,0.0327,4.115066,4.2674,4.165644,3.955922,
,68,4.082478,0.0326,4.082478,4.2357,4.130929,3.927074,
,69,4.050002,0.0325,4.050002,4.2042,4.096370,3.898314,
70,70,4.017638,0.0324,4.017638,4.1729,4.061967,3.869642,
,71,3.985386,0.0323,3.985386,4.1418,4.027720,3.841058,
,72,3.953246,0.0321,3.953246,4.1109,3.993629,3.812562,
,73,3.921218,0.0320,3.921218,4.0802,3.959694,3.784154,
,74,3.889302,0.0319,3.889302,4.0497,3.925915,3.755834,
75,75,3.857498,0.0318,3.857498,4.0194,3.892292,3.727602,
,76,3.825806,0.0317,3.825806,3.9893,3.858825,3.699458,
,77,3.794226,0.0316,3.794226,3.9594,3.825514,3.671402,
,78,3.762758,0.0315,3.762758,3.9297,3.792359,3.643434,
,79,3.731402,0.0314,3.731402,3.9002,3.759360,3.615554,
80,80,3.700158,0.0312,3.700158,3.8709,3.726517,3.587762,
,81,3.669026,0.0311,3.669026,3.8418,3.693830,3.560058,
,82,3.638006,0.0310,3.638006,3.8129,3.661299,3.532442,
,83,3.607098,0.0309,3.607098,3.7842,3.628924,3.504914,
,84,3.576302,0.0308,3.576302,3.7557,3.596705,3.477474,
85,85,3.545618,0.0307,3.545618,3.7274,3.564642,3.450122,
,86,3.515046,0.0306,3.515046,3.6993,3.532735,3.422858,
,87,3.484586,0.0305,3.484586,3.6714,3.500984,3.395682,
,88,3.454238,0.0303,3.454238,3.6437,3.469389,3.368594,
,89,3.424002,0.0302,3.424002,3.6162,3.437950,3.341594,
90,90,3.393878,0.0301,3.393878,3.5889,3.406667,3.314682,
,91,3.363866,0.0300,3.363866,3.5618,3.375540,3.287858,
,92,3.333966,0.0299,3.333966,3.5349,3.344569,3.261122,
,93,3.304178,0.0298,3.304178,3.5082,3.313754,3.234474,
,94,3.274502,0.0297,3.274502,3.4817,3.283095,3.207914,
95,95,3.244938,0.0296,3.244938,3.4554,3.252592,3.181442,
,96,3.215486,0.0295,3.215486,3.4293,3.222245,3.155058,
,97,3.186146,0.0293,3.186146,3.4034,3.192054,3.128762,
,98,3.156918,0.0292,3.156918,3.3777,3.162019,3.102554,
,99,3.142,0.0149,3.127802,3.3522,3.132140,3.076434,
100,100,3.089,0.0530,3.098798,3.3269,3.102417,3.050402,
,101,3.069906,0.0191,3.069906,3.3018,3.072850,3.024458,
,102,3.036,0.0339,3.041126,3.2769,3.043439,2.998602,
,103,3.012458,0.0235,3.012458,3.2522,3.014184,2.972834,
,104,2.978,0.0345,2.983902,3.2277,2.985085,2.947154,
105,105,2.955458,0.0225,2.955458,3.2034,2.956142,2.921562,
,106,2.931,0.0245,2.927126,3.1793,2.927355,2.896058,
,107,2.898906,0.0321,2.898906,3.1554,2.898724,2.870642,
,108,2.886,0.0129,2.870798,3.1317,2.870249,2.845314,
,109,2.838,0.0480,2.842802,3.1082,2.841930,2.820074,
110,110,2.814918,0.0231,2.814918,3.0849,2.813767,2.794922,
,111,2.790,0.0249,2.787146,3.0618,2.785760,2.769858,
,112,2.759486,0.0305,2.759486,3.0389,2.757909,2.744882,
,113,2.742,0.0175,2.731938,3.0162,2.730214,2.719994,
,114,2.704502,0.0375,2.704502,2.9937,2.702675,2.695194,
115,115,2.693,0.0115,2.677178,2.9714,2.675292,2.670482,
,116,2.649966,0.0430,2.649966,2.9493,2.648065,2.645858,
,117,2.642,0.0080,2.622866,2.9274,2.620994,2.621322,
,118,2.590,0.0520,2.595878,2.9057,2.594079,2.596874,
,119,2.569002,0.0210,2.569002,2.8842,2.567320,2.572514,
120,120,2.537,0.0320,2.542238,2.8629,2.540717,2.548242,
,121,2.515586,0.0214,2.515586,2.8418,2.514270,2.524058,
,122,2.482,0.0336,2.489046,2.8209,2.487979,2.499962,
,123,2.462618,0.0194,2.462618,2.8002,2.461844,2.475954,
,124,2.437,0.0256,2.436302,2.7797,2.435865,2.452034,
125,125,2.410098,0.0269,2.410098,2.7594,2.410042,2.428202,
,126,2.393,0.0171,2.384006,2.7393,2.384375,2.404458,
,127,2.349,0.0440,2.358026,2.7194,2.358864,2.380802,
,128,2.332158,0.0168,2.332158,2.6997,2.333509,2.357234,
,129,2.304,0.0282,2.306402,2.6802,2.308310,2.333754,
130,130,2.280758,0.0232,2.280758,2.6609,2.283267,2.310362,
,131,2.255,0.0258,2.255226,2.6418,2.258380,2.287058,
,132,2.229806,0.0252,2.229806,2.6229,2.233649,2.263842,
,133,2.212,0.0178,2.204498,2.6042,2.209074,2.240714,
,134,2.179302,0.0327,2.179302,2.5857,2.184655,2.217674,
135,135,2.167,0.0123,2.154218,2.5674,2.160392,2.194722,
,136,2.129246,0.0378,2.129246,2.5493,2.136285,2.171858,
,137,2.104386,0.0249,2.104386,2.5314,2.112334,2.149082,
,138,2.079638,0.0247,2.079638,2.5137,2.088539,2.126394,
,139,2.055002,0.0246,2.055002,2.4962,2.064900,2.103794,
140,140,2.030478,0.0245,2.030478,2.4789,2.041417,2.081282,
,141,2.006066,0.0244,2.006066,2.4618,2.018090,2.058858,
,142,1.981766,0.0243,1.981766,2.4449,1.994919,2.036522,
,143,1.957578,0.0242,1.957578,2.4282,1.971904,2.014274,
,144,1.933502,0.0241,1.933502,2.4117,1.949045,1.992114,
145,145,1.909538,0.0240,1.909538,2.3954,1.926342,1.970042,
,146,1.885686,0.0239,1.885686,2.3793,1.903795,1.948058,
,147,1.861946,0.0237,1.861946,2.3634,1.881404,1.926162,
,148,1.838318,0.0236,1.838318,2.3477,1.859169,1.904354,
,149,1.814802,0.0235,1.814802,2.3322,1.837090,1.882634,
150,150,1.791398,0.0234,1.791398,2.3169,1.815167,1.861002,
,151,1.768106,0.0233,1.768106,2.3018,1.793400,1.839458,
,152,1.744926,0.0232,1.744926,2.2869,1.771789,1.818002,
,153,1.721858,0.0231,1.721858,2.2722,1.750334,1.796634,
,154,1.698902,0.0230,1.698902,2.2577,1.729035,1.775354,
155,155,1.676058,0.0228,1.676058,2.2434,1.707892,1.754162,
,156,1.653326,0.0227,1.653326,2.2293,1.686905,1.733058,
,157,1.630706,0.0226,1.630706,2.2154,1.666074,1.712042,
,158,1.608198,0.0225,1.608198,2.2017,1.645399,1.691114,
,159,1.585802,0.0224,1.585802,2.1882,1.624880,1.670274,
160,160,1.563518,0.0223,1.563518,2.1749,1.604517,1.649522,
,161,1.541346,0.0222,1.541346,2.1618,1.584310,1.628858,
,162,1.519286,0.0221,1.519286,2.1489,1.564259,1.608282,
,163,1.497338,0.0219,1.497338,2.1362,1.544364,1.587794,
,164,1.475502,0.0218,1.475502,2.1237,1.524625,1.567394,
165,165,1.453778,0.0217,1.453778,2.1114,1.505042,1.547082,
,166,1.432166,0.0216,1.432166,2.0993,1.485615,1.526858,
,167,1.410666,0.0215,1.410666,2.0874,1.466344,1.506722,
,168,1.389278,0.0214,1.389278,2.0757,1.447229,1.486674,
,169,1.368002,0.0213,1.368002,2.0642,1.428270,1.466714,
170,170,1.346838,0.0212,1.346838,2.0529,1.409467,1.446842,
,171,1.325786,0.0211,1.325786,2.0418,1.390820,1.427058,
,172,1.304846,0.0209,1.304846,2.0309,1.372329,1.407362,
,173,1.284018,0.0208,1.284018,2.0202,1.353994,1.387754,
,174,1.263302,0.0207,1.263302,2.0097,1.335815,1.368234,
175,175,1.242698,0.0206,1.242698,1.9994,1.317792,1.348802,
,176,1.222206,0.0205,1.222206,1.9893,1.299925,1.329458,
,177,1.201826,0.0204,1.201826,1.9794,1.282214,1.310202,
