Volts,Deg F,
3.8923,75,
3.8588,76,
3.8255,77,
3.7924,78,
3.7594,79,
3.7265,80,
3.6938,81,
3.6613,82,
3.6289,83,
3.5967,84,
3.5646,85,
3.5327,86,
3.5010,87,
3.4694,88,
3.4380,89,
3.4067,90,
3.3755,91,
3.3446,92,
3.3138,93,
3.2831,94,
3.2526,95,
3.2222,96,
3.1921,97,
3.1620,98,
3.1321,99,
3.1024,100,
3.0729,101,
3.0434,102,
3.0142,103,
2.9851,104,
2.9561,105,
2.9274,106,
2.8987,107,
2.8702,108,
2.8419,109,
2.8138,110,
2.7858,111,
2.7579,112,
2.7302,113,
2.7027,114,
2.6753,115,
2.6481,116,
2.6210,117,
2.5941,118,
2.5673,119,
2.5407,120,
2.5143,121,
2.4880,122,
2.4618,123,
2.4359,124,
2.4100,125,
2.3844,126,
2.3589,127,
2.3335,128,
2.3083,129,
2.2833,130,
2.2584,131,
2.2336,132,
2.2091,133,
2.1847,134,
2.1604,135,
2.1363,136,
2.1123,137,
2.0885,138,
2.0649,139,
2.0414,140,
2.0181,141,
1.9949,142,
1.9719,143,
1.9490,144,
1.9263,145,
1.9038,146,
1.8814,147,
1.8592,148,
1.8371,149,
1.8152,150,
1.7934,151,
1.7718,152,
1.7503,153,
1.7290,154,
1.7079,155,
1.6869,156,
1.6661,157,
1.6454,158,
1.6249,159,
1.6045,160,
1.5843,161,
1.5643,162,
1.5444,163,
1.5246,164,
1.5050,165,
1.4856,166,
1.4663,167,
1.4472,168,
1.4283,169,
1.4095,170,
1.3908,171,
1.3723,172,
1.3540,173,
1.3358,174,
1.3178,175,
1.2999,176,
1.2822,177,
1.2647,178,
1.2473,179,
1.2300,180,
1.2129,181,
1.1960,182,
1.1792,183,
1.1626,184,
1.1461,185,
1.1298,186,
1.1137,187,
1.0977,188,
1.0819,189,
1.0662,190,
1.0506,191,
1.0353,192,
1.0201,193,
1.0050,194,
0.9901,195,
0.9753,196,
0.9608,197,
0.9463,198,
0.9320,199,
0.9179,200,
0.9040,201,
0.8901,202,
0.8765,203,
0.8630,204,
0.8496,205,
0.8365,206,
0.8234,207,
0.8105,208,
0.7978,209,
0.7853,210,
0.7729,211,
0.7606,212,
0.7485,213,
0.7366,214,
0.7248,215,
0.7132,216,
0.7017,217,
0.6904,218,
0.6792,219,
0.6682,220,
